   KT           JONSWAP          OUR           ELFOUHAILY             WT  
   0.3000     1.194E-0001     1.046E-0001     1.566E-0001     1.7146
   0.8000     7.660E-0003     9.009E-0003     1.055E-0002     2.8000
   1.3000     1.821E-0003     2.676E-0003     2.399E-0003     3.5693
   1.8000     6.900E-0004     1.186E-0003     8.627E-0004     4.2001
   2.3000     3.316E-0004     6.428E-0004     3.952E-0004     4.7477
   2.8000     1.840E-0004     3.931E-0004     2.107E-0004     5.2385
   3.3000     1.125E-0004     2.438E-0004     1.248E-0004     5.6871
   3.8000     7.370E-0005     1.597E-0004     7.976E-0005     6.1028
   4.3000     5.088E-0005     1.102E-0004     5.407E-0005     6.4920
   4.8000     3.659E-0005     7.924E-0005     3.840E-0005     6.8592
   5.3000     2.718E-0005     5.886E-0005     2.831E-0005     7.2077
   5.8000     2.074E-0005     4.491E-0005     2.152E-0005     7.5402
   6.3000     1.619E-0005     3.504E-0005     1.679E-0005     7.8587
   6.8000     1.287E-0005     2.787E-0005     1.339E-0005     8.1648
   7.3000     1.041E-0005     2.253E-0005     1.087E-0005     8.4598
   7.8000     8.531E-0006     1.847E-0005     8.972E-0006     8.7450
   8.3000     7.081E-0006     1.533E-0005     7.508E-0006     9.0212
   8.8000     5.941E-0006     1.286E-0005     6.360E-0006     9.2893
   9.3000     5.034E-0006     1.089E-0005     5.445E-0006     9.5498
   9.8000     4.302E-0006     9.310E-0006     4.706E-0006     9.8036
  10.3000     3.706E-0006     8.019E-0006     4.102E-0006    10.0509
  10.8000     3.214E-0006     6.956E-0006     3.603E-0006    10.2924
  11.3000     2.806E-0006     6.073E-0006     3.186E-0006    10.5284
  11.8000     2.465E-0006     5.333E-0006     2.834E-0006    10.7593
  12.3000     2.176E-0006     4.709E-0006     2.536E-0006    10.9853
  12.8000     1.931E-0006     4.178E-0006     2.280E-0006    11.2069
  13.3000     1.721E-0006     3.725E-0006     2.060E-0006    11.4243
  13.8000     1.541E-0006     3.334E-0006     1.869E-0006    11.6376
  14.3000     1.385E-0006     2.997E-0006     1.702E-0006    11.8472
  14.8000     1.249E-0006     2.703E-0006     1.556E-0006    12.0532
  15.3000     1.131E-0006     2.447E-0006     1.427E-0006    12.2558
  15.8000     1.027E-0006     2.222E-0006     1.312E-0006    12.4552
  16.3000     9.351E-0007     2.023E-0006     1.211E-0006    12.6515
  16.8000     8.541E-0007     1.848E-0006     1.120E-0006    12.8449
  17.3000     7.821E-0007     1.692E-0006     1.039E-0006    13.0355
  17.8000     7.181E-0007     1.554E-0006     9.656E-0007    13.2234
  18.3000     6.608E-0007     1.430E-0006     8.995E-0007    13.4087
  18.8000     6.095E-0007     1.319E-0006     8.398E-0007    13.5916
  19.3000     5.633E-0007     1.219E-0006     7.855E-0007    13.7721
  19.8000     5.217E-0007     1.129E-0006     7.361E-0007    13.9504
  20.3000     4.841E-0007     1.047E-0006     6.910E-0007    14.1265
  20.8000     4.500E-0007     9.737E-0007     6.497E-0007    14.3006
  21.3000     4.191E-0007     9.068E-0007     6.118E-0007    14.4726
  21.8000     3.909E-0007     8.458E-0007     5.770E-0007    14.6426
  22.3000     3.652E-0007     7.902E-0007     5.450E-0007    14.8108
  22.8000     3.417E-0007     7.393E-0007     5.154E-0007    14.9772
  23.3000     3.202E-0007     6.927E-0007     4.881E-0007    15.1419
  23.8000     3.004E-0007     6.500E-0007     4.627E-0007    15.3048
  24.3000     2.822E-0007     6.107E-0007     4.392E-0007    15.4662
  24.8000     2.655E-0007     5.745E-0007     4.174E-0007    15.6259
  25.3000     2.501E-0007     5.411E-0007     3.970E-0007    15.7841
  25.8000     2.358E-0007     5.102E-0007     3.781E-0007    15.9409
  26.3000     2.226E-0007     4.817E-0007     3.604E-0007    16.0962
  26.8000     2.104E-0007     4.552E-0007     3.438E-0007    16.2501
  27.3000     1.990E-0007     4.306E-0007     3.283E-0007    16.4026
  27.8000     1.885E-0007     4.078E-0007     3.138E-0007    16.5538
  28.3000     1.787E-0007     3.866E-0007     3.002E-0007    16.7038
  28.8000     1.695E-0007     3.668E-0007     2.874E-0007    16.8525
  29.3000     1.610E-0007     3.483E-0007     2.753E-0007    17.0000
  29.8000     1.530E-0007     3.311E-0007     2.640E-0007    17.1464
  30.3000     1.456E-0007     3.150E-0007     2.533E-0007    17.2916
  30.8000     1.386E-0007     2.999E-0007     2.432E-0007    17.4357
  31.3000     1.321E-0007     2.857E-0007     2.337E-0007    17.5787
  31.8000     1.259E-0007     2.725E-0007     2.247E-0007    17.7206
  32.3000     1.202E-0007     2.600E-0007     2.161E-0007    17.8615
  32.8000     1.148E-0007     2.483E-0007     2.081E-0007    18.0014
  33.3000     1.097E-0007     2.373E-0007     2.004E-0007    18.1404
  33.8000     1.049E-0007     2.269E-0007     1.931E-0007    18.2783
  34.3000     1.004E-0007     2.171E-0007     1.862E-0007    18.4154
  34.8000     9.610E-0008     2.079E-0007     1.797E-0007    18.5515
  35.3000     9.207E-0008     1.992E-0007     1.735E-0007    18.6868
  35.8000     8.827E-0008     1.909E-0007     1.675E-0007    18.8211
  36.3000     8.467E-0008     1.831E-0007     1.619E-0007    18.9547
  36.8000     8.127E-0008     1.758E-0007     1.565E-0007    19.0874
  37.3000     7.804E-0008     1.688E-0007     1.514E-0007    19.2193
  37.8000     7.498E-0008     1.622E-0007     1.465E-0007    19.3504
  38.3000     7.209E-0008     1.559E-0007     1.418E-0007    19.4807
  38.8000     6.934E-0008     1.500E-0007     1.373E-0007    19.6103
  39.3000     6.672E-0008     1.443E-0007     1.330E-0007    19.7391
  39.8000     6.424E-0008     1.389E-0007     1.289E-0007    19.8672
  40.3000     6.188E-0008     1.338E-0007     1.250E-0007    19.9946
  40.8000     5.963E-0008     1.290E-0007     1.213E-0007    20.1213
  41.3000     5.749E-0008     1.243E-0007     1.177E-0007    20.2473
  41.8000     5.545E-0008     1.199E-0007     1.142E-0007    20.3726
  42.3000     5.351E-0008     1.157E-0007     1.109E-0007    20.4973
  42.8000     5.166E-0008     1.117E-0007     1.078E-0007    20.6214
  43.3000     4.989E-0008     1.079E-0007     1.047E-0007    20.7448
  43.8000     4.820E-0008     1.042E-0007     1.018E-0007    20.8676
  44.3000     4.658E-0008     1.007E-0007     9.900E-0008    20.9898
  44.8000     4.504E-0008     9.739E-0008     9.630E-0008    21.1115
  45.3000     4.357E-0008     9.420E-0008     9.370E-0008    21.2325
  45.8000     4.216E-0008     9.115E-0008     9.120E-0008    21.3530
  46.3000     4.080E-0008     8.822E-0008     8.879E-0008    21.4729
  46.8000     3.951E-0008     8.542E-0008     8.647E-0008    21.5922
  47.3000     3.827E-0008     8.274E-0008     8.424E-0008    21.7111
  47.8000     3.708E-0008     8.017E-0008     8.208E-0008    21.8294
  48.3000     3.594E-0008     7.770E-0008     8.001E-0008    21.9472
  48.8000     3.485E-0008     7.533E-0008     7.800E-0008    22.0644
  49.3000     3.380E-0008     7.306E-0008     7.607E-0008    22.1812
  49.8000     3.279E-0008     7.088E-0008     7.420E-0008    22.2975
  50.3000     3.182E-0008     6.878E-0008     7.240E-0008    22.4133
  50.8000     3.089E-0008     6.677E-0008     7.066E-0008    22.5287
  51.3000     3.000E-0008     6.483E-0008     6.897E-0008    22.6436
  51.8000     2.914E-0008     6.297E-0008     6.735E-0008    22.7580
  52.3000     2.831E-0008     6.118E-0008     6.577E-0008    22.8720
  52.8000     2.751E-0008     5.946E-0008     6.425E-0008    22.9855
  53.3000     2.675E-0008     5.780E-0008     6.278E-0008    23.0986
  53.8000     2.601E-0008     5.620E-0008     6.135E-0008    23.2113
  54.3000     2.530E-0008     5.466E-0008     5.997E-0008    23.3235
  54.8000     2.461E-0008     5.317E-0008     5.863E-0008    23.4354
  55.3000     2.395E-0008     5.174E-0008     5.734E-0008    23.5469
  55.8000     2.331E-0008     5.036E-0008     5.608E-0008    23.6579
  56.3000     2.269E-0008     4.903E-0008     5.487E-0008    23.7686
  56.8000     2.210E-0008     4.774E-0008     5.369E-0008    23.8789
  57.3000     2.153E-0008     4.650E-0008     5.254E-0008    23.9888
  57.8000     2.097E-0008     4.530E-0008     5.143E-0008    24.0983
  58.3000     2.044E-0008     4.414E-0008     5.035E-0008    24.2075
  58.8000     1.992E-0008     4.302E-0008     4.930E-0008    24.3163
  59.3000     1.942E-0008     4.194E-0008     4.829E-0008    24.4248
  59.8000     1.894E-0008     4.089E-0008     4.730E-0008    24.5329
  60.3000     1.847E-0008     3.988E-0008     4.634E-0008    24.6407
  60.8000     1.802E-0008     3.890E-0008     4.541E-0008    24.7482
  61.3000     1.758E-0008     3.796E-0008     4.451E-0008    24.8553
  61.8000     1.716E-0008     3.704E-0008     4.363E-0008    24.9621
  62.3000     1.675E-0008     3.615E-0008     4.277E-0008    25.0686
  62.8000     1.635E-0008     3.529E-0008     4.194E-0008    25.1747
  63.3000     1.597E-0008     3.446E-0008     4.113E-0008    25.2806
  63.8000     1.560E-0008     3.365E-0008     4.034E-0008    25.3862
  64.3000     1.523E-0008     3.287E-0008     3.957E-0008    25.4914
  64.8000     1.488E-0008     3.212E-0008     3.883E-0008    25.5964
  65.3000     1.454E-0008     3.138E-0008     3.810E-0008    25.7011
  65.8000     1.422E-0008     3.067E-0008     3.739E-0008    25.8055
  66.3000     1.390E-0008     2.998E-0008     3.670E-0008    25.9096
  66.8000     1.359E-0008     2.931E-0008     3.603E-0008    26.0134
  67.3000     1.329E-0008     2.866E-0008     3.537E-0008    26.1170
  67.8000     1.299E-0008     2.802E-0008     3.474E-0008    26.2203
  68.3000     1.271E-0008     2.741E-0008     3.411E-0008    26.3233
  68.8000     1.244E-0008     2.681E-0008     3.351E-0008    26.4261
  69.3000     1.217E-0008     2.624E-0008     3.292E-0008    26.5286
  69.8000     1.191E-0008     2.567E-0008     3.234E-0008    26.6309
  70.3000     1.166E-0008     2.513E-0008     3.178E-0008    26.7329
  70.8000     1.141E-0008     2.460E-0008     3.123E-0008    26.8347
  71.3000     1.117E-0008     2.408E-0008     3.069E-0008    26.9363
  71.8000     1.094E-0008     2.358E-0008     3.017E-0008    27.0376
  72.3000     1.072E-0008     2.309E-0008     2.966E-0008    27.1387
  72.8000     1.050E-0008     2.261E-0008     2.916E-0008    27.2395
  73.3000     1.028E-0008     2.215E-0008     2.867E-0008    27.3401
  73.8000     1.008E-0008     2.170E-0008     2.820E-0008    27.4406
  74.3000     9.874E-0009     2.126E-0008     2.773E-0008    27.5407
