   KT           JONSWAP          OUR           ELFOUHAILY             WT  
   0.3000     1.440E-0001     1.611E-0001     1.980E-0001     1.7146
   0.8000     7.865E-0003     1.191E-0002     1.108E-0002     2.8000
   1.3000     1.839E-0003     2.777E-0003     2.657E-0003     3.5693
   1.8000     6.937E-0004     1.046E-0003     9.937E-0004     4.2001
   2.3000     3.326E-0004     5.014E-0004     4.666E-0004     4.7477
   2.8000     1.844E-0004     2.779E-0004     2.521E-0004     5.2385
   3.3000     1.127E-0004     1.698E-0004     1.498E-0004     5.6871
   3.8000     7.379E-0005     1.112E-0004     9.544E-0005     6.1028
   4.3000     5.093E-0005     7.673E-0005     6.414E-0005     6.4920
   4.8000     3.662E-0005     5.516E-0005     4.495E-0005     6.8592
   5.3000     2.720E-0005     4.098E-0005     3.261E-0005     7.2077
   5.8000     2.076E-0005     3.127E-0005     2.433E-0005     7.5402
   6.3000     1.620E-0005     2.440E-0005     1.860E-0005     7.8587
   6.8000     1.288E-0005     1.940E-0005     1.452E-0005     8.1648
   7.3000     1.041E-0005     1.568E-0005     1.154E-0005     8.4598
   7.8000     8.534E-0006     1.285E-0005     9.310E-0006     8.7450
   8.3000     7.083E-0006     1.067E-0005     7.619E-0006     9.0212
   8.8000     5.943E-0006     8.952E-0006     6.313E-0006     9.2893
   9.3000     5.035E-0006     7.584E-0006     5.289E-0006     9.5498
   9.8000     4.303E-0006     6.481E-0006     4.475E-0006     9.8036
  10.3000     3.706E-0006     5.583E-0006     3.821E-0006    10.0509
  10.8000     3.215E-0006     4.843E-0006     3.290E-0006    10.2924
  11.3000     2.807E-0006     4.228E-0006     2.853E-0006    10.5284
  11.8000     2.465E-0006     3.713E-0006     2.492E-0006    10.7593
  12.3000     2.176E-0006     3.278E-0006     2.190E-0006    10.9853
  12.8000     1.931E-0006     2.909E-0006     1.936E-0006    11.2069
  13.3000     1.721E-0006     2.593E-0006     1.721E-0006    11.4243
  13.8000     1.541E-0006     2.321E-0006     1.537E-0006    11.6376
  14.3000     1.385E-0006     2.086E-0006     1.380E-0006    11.8472
  14.8000     1.249E-0006     1.882E-0006     1.244E-0006    12.0532
  15.3000     1.131E-0006     1.703E-0006     1.125E-0006    12.2558
  15.8000     1.027E-0006     1.547E-0006     1.022E-0006    12.4552
  16.3000     9.352E-0007     1.409E-0006     9.319E-0007    12.6515
  16.8000     8.541E-0007     1.287E-0006     8.523E-0007    12.8449
  17.3000     7.822E-0007     1.178E-0006     7.819E-0007    13.0355
  17.8000     7.181E-0007     1.082E-0006     7.194E-0007    13.2234
  18.3000     6.608E-0007     9.954E-0007     6.637E-0007    13.4087
  18.8000     6.095E-0007     9.181E-0007     6.139E-0007    13.5916
  19.3000     5.634E-0007     8.485E-0007     5.692E-0007    13.7721
  19.8000     5.217E-0007     7.859E-0007     5.290E-0007    13.9504
  20.3000     4.841E-0007     7.292E-0007     4.926E-0007    14.1265
