   KT            JONSWAP          OUR          ELFOUHAILY       WT  
  11.6498     3.642E-0006     3.401E-0006     2.891E-0006    10.6904
  12.2323     3.149E-0006     2.938E-0006     2.471E-0006    10.9550
  12.8439     2.723E-0006     2.538E-0006     2.110E-0006    11.2262
  13.4861     2.354E-0006     2.192E-0006     1.801E-0006    11.5041
  14.1604     2.035E-0006     1.894E-0006     1.536E-0006    11.7891
  14.8684     1.759E-0006     1.636E-0006     1.310E-0006    12.0811
  15.6119     1.521E-0006     1.413E-0006     1.115E-0006    12.3805
  16.3924     1.314E-0006     1.221E-0006     9.496E-0007    12.6875
  17.2121     1.136E-0006     1.054E-0006     8.078E-0007    13.0021
  18.0727     9.817E-0007     9.109E-0007     6.868E-0007    13.3248
  18.9763     8.484E-0007     7.868E-0007     5.836E-0007    13.6555
  19.9251     7.332E-0007     6.797E-0007     4.956E-0007    13.9947
  20.9214     6.336E-0007     5.871E-0007     4.207E-0007    14.3425
  21.9674     5.475E-0007     5.072E-0007     3.570E-0007    14.6992
  23.0658     4.731E-0007     4.381E-0007     3.028E-0007    15.0650
  24.2191     4.087E-0007     3.785E-0007     2.567E-0007    15.4402
  25.4301     3.532E-0007     3.269E-0007     2.176E-0007    15.8250
  26.7016     3.051E-0007     2.824E-0007     1.843E-0007    16.2199
  28.0366     2.636E-0007     2.440E-0007     1.562E-0007    16.6250
  29.4385     2.278E-0007     2.107E-0007     1.323E-0007    17.0407
  30.9104     1.968E-0007     1.820E-0007     1.120E-0007    17.4673
  32.4559     1.700E-0007     1.572E-0007     9.489E-0008    17.9053
  34.0787     1.469E-0007     1.358E-0007     8.038E-0008    18.3548
  35.7827     1.269E-0007     1.173E-0007     6.811E-0008    18.8165
  37.5718     1.096E-0007     1.013E-0007     5.772E-0008    19.2906
  39.4504     9.472E-0008     8.754E-0008     4.894E-0008    19.7777
  41.4229     8.183E-0008     7.561E-0008     4.151E-0008    20.2782
  43.4940     7.070E-0008     6.531E-0008     3.523E-0008    20.7926
  45.6687     6.107E-0008     5.641E-0008     2.992E-0008    21.3214
  47.9522     5.276E-0008     4.872E-0008     2.544E-0008    21.8653
  50.3498     4.558E-0008     4.208E-0008     2.164E-0008    22.4248
  52.8673     3.938E-0008     3.634E-0008     1.843E-0008    23.0007
  55.5106     3.402E-0008     3.139E-0008     1.571E-0008    23.5937
  58.2862     2.939E-0008     2.710E-0008     1.341E-0008    24.2045
  61.2005     2.539E-0008     2.340E-0008     1.147E-0008    24.8340
  64.2605     2.193E-0008     2.021E-0008     9.815E-0009    25.4831
  67.4735     1.894E-0008     1.745E-0008     8.414E-0009    26.1529
  70.8472     1.637E-0008     1.506E-0008     7.224E-0009    26.8443
  74.3896     1.414E-0008     1.300E-0008     6.212E-0009    27.5587
  78.1090     1.221E-0008     1.122E-0008     5.351E-0009    28.2972
  82.0145     1.055E-0008     9.681E-0009     4.616E-0009    29.0614
  86.1152     9.114E-0009     8.351E-0009     3.989E-0009    29.8528
  90.4210     7.873E-0009     7.202E-0009     3.453E-0009    30.6730
  94.9420     6.801E-0009     6.209E-0009     2.994E-0009    31.5240
  99.6891     5.875E-0009     5.352E-0009     2.599E-0009    32.4078
  104.6736     5.075E-0009     4.610E-0009     2.260E-0009    33.3267
  109.9073     4.384E-0009     3.970E-0009     1.968E-0009    34.2832
  115.4026     3.787E-0009     3.416E-0009     1.716E-0009    35.2800
  121.1728     3.272E-0009     2.938E-0009     1.498E-0009    36.3201
  127.2314     2.826E-0009     2.524E-0009     1.310E-0009    37.4069
  133.5930     2.441E-0009     2.167E-0009     1.146E-0009    38.5441
  140.2726     2.109E-0009     1.859E-0009     1.003E-0009    39.7356
  147.2863     1.822E-0009     1.592E-0009     8.793E-0010    40.9859
