	k
0	0.020000000000000004
1	0.09439731229159126
2	0.11149652686408043
3	0.12556614977812572
4	0.13840636523270675
5	0.15066477489515787
6	0.1628577457930424
7	0.1754306032653509
8	0.188476835143784
9	0.20200031431521112
10	0.21598960563457667
11	0.2304537969900797
12	0.2453876755318557
13	0.26079407187655457
14	0.27666951803486206
15	0.29301857544036924
16	0.309836191802046
17	0.3271250473270698
18	0.3448856578547533
19	0.363116641388123
20	0.3818178098042337
21	0.40098933462474773
22	0.4206313813845203
23	0.4407439867983287
24	0.4613270600590923
25	0.4823804463789626
26	0.5039040200573811
27	0.5258977883089259
28	0.5483619980389268
29	0.5712970131294273
30	0.5947017316895273
31	0.6185766317332987
32	0.6429222872915842
33	0.6677375231316655
34	0.6930235548297539
35	0.7187792461091651
36	0.7450054803512839
37	0.7717018746429788
38	0.7988753037857076
39	0.8267840154410109
40	0.8556677596253651
41	0.8855607783244441
42	0.9164983377670298
43	0.9485170142216944
44	0.9816547651765988
45	1.0159501313594979
46	1.051444159602771
47	1.0881781783871594
48	1.126195995271035
49	1.1655422474751311
50	1.2062633128223184
51	1.248407274039093
52	1.29202397724464
53	1.3371645131932735
54	1.3838825362022709
55	1.432232911842611
56	1.4822727101446342
57	1.5340609585095855
58	1.5876587329840464
59	1.6431294159126697
60	1.700538231719678
61	1.7599529793000097
62	1.8214437916714863
63	1.8850830991644325
64	1.9509460756209074
65	2.019110310905204
66	2.0896563081328368
67	2.162667255083332
68	2.2382291933956338
69	2.316431363652032
70	2.3973659575265898
71	2.4811284868070067
72	2.567817668957672
73	2.6575358452075397
74	2.750388833823986
75	2.846486116888362
76	2.94594109454994
77	3.0488710608593075
78	3.155397446387927
79	3.2656458915492648
80	3.3797464525272787
81	3.4978337128062074
82	3.6200469867345113
83	3.746530408333211
84	3.8774331932827613
85	4.012909760069799
86	4.15311989062735
87	4.298228977707429
88	4.448408209915579
89	4.603834731929713
90	4.764691867045307
91	4.931169374005016
92	5.103463618015437
93	5.281777840953087
94	5.466322371656761
95	5.657314915073711
96	5.854980747695545
97	6.059552986167332
98	6.271273037632482
99	6.490390592699041
100	6.717164124070319
101	6.951861138628899
102	7.1947584683215835
103	7.446142639816172
104	7.706310183312737
105	7.975567991303052
106	8.254233679194476
107	8.542635957410537
108	8.841115017813273
109	9.150022959976795
110	9.46972414303644
111	9.800595741223416
112	10.143028029153573
113	10.497424954183769
114	10.864204561819536
115	11.243799519714994
116	11.636657616794233
117	12.043242293220075
118	12.46403318289234
119	12.899526686981053
120	13.350236555494087
121	13.816694502136585
122	14.299450823540775
123	14.799075075512064
124	15.31615669333637
125	15.851305749430026
126	16.40515366838369
127	16.978353938284364
128	17.571582945855432
129	18.185540704737782
130	18.820951755906783
131	19.478566009548373
132	20.159159675480783
133	20.86353607669601
134	21.592526778507537
135	22.34699248077794
136	23.127824096295953
137	23.93594381680919
138	24.77230624391243
139	25.637899554361585
140	26.53374671516645
141	27.46090674076599
142	28.420476044231577
143	29.41358976030223
144	30.441423220000633
145	31.505193457872682
146	32.60616072171955
147	33.74563020416267
148	34.924953712237425
149	36.14553153177708
150	37.40881432060573
151	38.71630512883911
152	40.069561540569644
153	41.47019800874211
154	42.91988820951131
155	44.42036766622398
156	45.97343649602879
157	47.5809623975266
158	49.244883879081755
159	50.96721373127377
160	52.7500427415308
161	54.59554383951445
162	56.50597661465069
163	58.48369217808719
164	60.53113868752082
165	62.65086729370611
166	64.84553883335352
167	67.11793132587104
168	69.4709482465936
169	71.90762790906926
170	74.43115398266416
171	77.04486734985636
172	79.75227966497894
173	82.55708848241886
174	85.46319484594194
175	88.47472305471337
176	91.59604347458551
177	94.83179862551255
178	98.18693322055263
179	101.66672868425296
180	105.27684326779902
181	109.02335825541208
182	112.91283179808656
183	116.95236150233761
184	121.14965763632769
185	125.51312870328326
186	130.0519822579815
187	134.77634386439505
188	139.69739791604826
189	144.8275554571548
190	150.18065497356247
191	155.77220404199238
192	161.61967192081102
193	167.74284639435444
194	174.16427189469493
195	180.90979251945203
196	188.0092306980848
197	195.4972438817301
198	203.41441871450348
199	211.8086848809312
200	220.73716781944637
201	230.26865327636654
202	240.48692188489812
203	251.49534853710213
204	263.42338523924593
205	276.28806126339043
206	289.2736126599474
207	302.2431434393345
208	315.21885441409825
209	328.2215436090024
210	341.27083956812413
211	354.3854031869777
212	367.58310343774934
213	380.8811710864799
214	394.2963345148511
215	407.8449407121961
216	421.5430634011262
217	435.40660117960704
218	449.4513673277714
219	463.6931727314698
220	478.14790327863494
221	492.83159323884075
222	507.7604951827962
223	522.9511475785481
224	538.4204408248906
225	554.1856826230504
226	570.264662676481
227	586.6757187121754
228	603.4378026015959
229	620.5705487240652
230	638.0943440980216
231	656.0304015132813
232	674.4008355086579
233	693.2287427621511
234	712.5382861504785
235	732.354784435051
236	752.7048073444944
237	773.6162771919528
238	795.1185770379282
239	817.2426679671327
240	840.0212139820169
241	863.4887174593267
242	887.6816650612565
243	912.6386861662957
244	938.4007242360763
245	965.0112231537919
246	992.5163302205368
247	1020.9665769399439
248	1051.9602857765797
249	1087.6171320317364
250	1129.400252997957
251	1179.547974321233
252	1241.7183185429865
253	1322.460468735399
254	1435.1968727785675
255	1614.3799519156428
256	2000.0000000000002
