   KT           JONSWAP          OUR           ELFOUHAILY             WT  
   0.3000     5.315E-0002     5.315E-0002     6.507E-0002     1.7146
   0.8000     6.836E-0003     6.172E-0003     9.011E-0003     2.8000
   1.3000     1.744E-0003     1.581E-0003     2.155E-0003     3.5693
   1.8000     6.747E-0004     5.956E-0004     8.329E-0004     4.2001
   2.3000     3.270E-0004     2.855E-0004     4.122E-0004     4.7477
   2.8000     1.823E-0004     1.582E-0004     2.344E-0004     5.2385
   3.3000     1.117E-0004     9.666E-0005     1.456E-0004     5.6871
   3.8000     7.333E-0005     6.330E-0005     9.636E-0005     6.1028
   4.3000     5.068E-0005     4.369E-0005     6.686E-0005     6.4920
   4.8000     3.647E-0005     3.141E-0005     4.814E-0005     6.8592
   5.3000     2.711E-0005     2.333E-0005     3.572E-0005     7.2077
   5.8000     2.070E-0005     1.780E-0005     2.717E-0005     7.5402
   6.3000     1.616E-0005     1.389E-0005     2.110E-0005     7.8587
   6.8000     1.285E-0005     1.105E-0005     1.668E-0005     8.1648
   7.3000     1.039E-0005     8.929E-0006     1.339E-0005     8.4598
   7.8000     8.521E-0006     7.320E-0006     1.089E-0005     8.7450
   8.3000     7.073E-0006     6.075E-0006     8.967E-0006     9.0212
   8.8000     5.936E-0006     5.097E-0006     7.458E-0006     9.2893
   9.3000     5.030E-0006     4.318E-0006     6.261E-0006     9.5498
   9.8000     4.299E-0006     3.691E-0006     5.301E-0006     9.8036
  10.3000     3.703E-0006     3.179E-0006     4.522E-0006    10.0509
  10.8000     3.212E-0006     2.757E-0006     3.884E-0006    10.2924
  11.3000     2.805E-0006     2.407E-0006     3.358E-0006    10.5284
  11.8000     2.463E-0006     2.114E-0006     2.919E-0006    10.7593
  12.3000     2.175E-0006     1.867E-0006     2.551E-0006    10.9853
  12.8000     1.930E-0006     1.656E-0006     2.241E-0006    11.2069
  13.3000     1.721E-0006     1.476E-0006     1.977E-0006    11.4243
  13.8000     1.540E-0006     1.322E-0006     1.752E-0006    11.6376
  14.3000     1.384E-0006     1.188E-0006     1.559E-0006    11.8472
  14.8000     1.249E-0006     1.071E-0006     1.392E-0006    12.0532
  15.3000     1.130E-0006     9.698E-0007     1.247E-0006    12.2558
  15.8000     1.026E-0006     8.806E-0007     1.121E-0006    12.4552
  16.3000     9.348E-0007     8.020E-0007     1.011E-0006    12.6515
  16.8000     8.539E-0007     7.325E-0007     9.144E-0007    12.8449
  17.3000     7.820E-0007     6.708E-0007     8.292E-0007    13.0355
  17.8000     7.179E-0007     6.159E-0007     7.538E-0007    13.2234
  18.3000     6.607E-0007     5.668E-0007     6.871E-0007    13.4087
  18.8000     6.093E-0007     5.227E-0007     6.277E-0007    13.5916
  19.3000     5.632E-0007     4.832E-0007     5.747E-0007    13.7721
  19.8000     5.216E-0007     4.475E-0007     5.273E-0007    13.9504
  20.3000     4.840E-0007     4.152E-0007     4.847E-0007    14.1265
  20.8000     4.500E-0007     3.860E-0007     4.465E-0007    14.3006
  21.3000     4.190E-0007     3.594E-0007     4.120E-0007    14.4726
  21.8000     3.908E-0007     3.353E-0007     3.809E-0007    14.6426
  22.3000     3.651E-0007     3.132E-0007     3.527E-0007    14.8108
  22.8000     3.416E-0007     2.931E-0007     3.272E-0007    14.9772
  23.3000     3.201E-0007     2.746E-0007     3.039E-0007    15.1419
  23.8000     3.004E-0007     2.576E-0007     2.828E-0007    15.3048
  24.3000     2.822E-0007     2.421E-0007     2.634E-0007    15.4662
  24.8000     2.655E-0007     2.277E-0007     2.458E-0007    15.6259
  25.3000     2.501E-0007     2.145E-0007     2.296E-0007    15.7841
  25.8000     2.358E-0007     2.022E-0007     2.148E-0007    15.9409
  26.3000     2.226E-0007     1.909E-0007     2.012E-0007    16.0962
  26.8000     2.104E-0007     1.804E-0007     1.886E-0007    16.2501
  27.3000     1.990E-0007     1.707E-0007     1.771E-0007    16.4026
  27.8000     1.885E-0007     1.617E-0007     1.664E-0007    16.5538
  28.3000     1.787E-0007     1.532E-0007     1.566E-0007    16.7038
