	k
0	0.032047180407822305
1	0.0363653908443629
2	0.03852033301630946
3	0.04008550060028139
4	0.04138239847989131
5	0.0425146392227727
6	0.04352542700661704
7	0.044442099159882176
8	0.045286803462135344
9	0.04607424503233708
10	0.04681470857719398
11	0.04751572309992622
12	0.04818299714353212
13	0.048820981640959736
14	0.049433287416924536
15	0.0500251124249453
16	0.05060134860490882
17	0.051163363547265854
18	0.05171216110855471
19	0.05224863220935201
20	0.05277357211431144
21	0.05328769382230438
22	0.053791640050674126
23	0.0542859920180079
24	0.05477127777242761
25	0.0552479786693407
26	0.05571653471029373
27	0.056177349696728496
28	0.056630948839036716
29	0.05707960867387177
30	0.057524832706770036
31	0.05796672562475891
32	0.0584053611286379
33	0.05884081017857265
34	0.059273141238063126
35	0.0597024203597541
36	0.06012871125844439
37	0.06055207545950433
38	0.060972572491992484
39	0.06139025977590532
40	0.061805192861933374
41	0.06221742561383326
42	0.06262701006645885
43	0.0630339965501286
44	0.0634384338709145
45	0.06384070916795101
46	0.06424220952652254
47	0.06464327821684722
48	0.06504391657212327
49	0.06544412609847385
50	0.06584390800323445
51	0.06624326379047972
52	0.06664219477800074
53	0.0670407023539913
54	0.06743878773349246
55	0.06783645244097822
56	0.06823369764592835
57	0.06863052474594561
58	0.06902693504127527
59	0.06942292989282964
60	0.06981851058047549
61	0.07021367830027207
62	0.07060843736918088
63	0.07100317090665462
64	0.07139864205842575
65	0.07179494596036912
66	0.0721920877810064
67	0.0725900728699275
68	0.07298890666043499
69	0.0733885946444746
70	0.07378914224020386
71	0.07419055512257405
72	0.0745928387903466
73	0.0749959990583582
74	0.07540004165506797
75	0.07580497238878363
76	0.07621079705747276
77	0.07661752173974076
78	0.0770251524082397
79	0.0774336950449434
80	0.07784318984921662
81	0.07825406496971013
82	0.07866662082525452
83	0.07908088362941988
84	0.07949687485689495
85	0.0799146163047603
86	0.08033413013431967
87	0.08075543919655809
88	0.08117856670459077
89	0.08160353647450051
90	0.08203037273817194
91	0.08245910023482987
92	0.08288974446542709
93	0.08332233116735749
94	0.08375688707271997
95	0.08419343931588204
96	0.08463201547494818
97	0.08507270820176878
98	0.08551580786448887
99	0.08596142018987751
100	0.08640958851222535
101	0.08686035723953546
102	0.08731377230663073
103	0.08776988062850956
104	0.0882287309393052
105	0.08869037321736561
106	0.08915485922456674
107	0.08962224199363043
108	0.09009257650729409
109	0.09056591927170064
110	0.09104232896633382
111	0.0915218658637852
112	0.09200459651863474
113	0.0924906352026234
114	0.09298008321219965
115	0.09347301366862922
116	0.09396950210022188
117	0.09446962659205001
118	0.09497346839234296
119	0.09548111146847417
120	0.09599264324938858
121	0.0965081545843338
122	0.09702773961330029
123	0.09755149668196497
124	0.09807952785435449
125	0.09861193948487713
126	0.09914882622941489
127	0.09969017655380936
128	0.10023604375053592
129	0.10078654249068772
130	0.10134179279549449
131	0.10190191974831189
132	0.10246705433586031
133	0.10303733303449615
134	0.10361289915373584
135	0.10419390246445714
136	0.10478050012338673
137	0.10537285683809272
138	0.10597114991455564
139	0.10657580633345651
140	0.1071874109805466
141	0.10780624115035721
142	0.10843255911183958
143	0.10906664322638561
144	0.10970879021641902
145	0.11035931533374985
146	0.11101855556325536
147	0.11168687076403896
148	0.11236464651136227
149	0.11305228913186993
150	0.11374991623760951
